,uf,municipio,porte,2640000,5912002,8650006,3220500,4756300,5920100,7729202,8592903,9001902,4329105,9001906,1830001,cnpj_basico
235,AC,157,1.0,0,0,0,0,0,0,1,0,0,0,1,0,2
236,AC,157,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
237,AC,157,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2
238,AC,643,1.0,0,0,0,0,0,0,0,0,0,0,1,0,3
239,AC,643,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2
240,AC,643,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1
241,AC,643,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
242,AC,643,1.0,0,0,0,0,0,0,1,0,0,0,0,0,5
243,AC,643,1.0,0,0,0,0,0,0,1,0,0,0,1,0,2
244,AC,643,1.0,0,0,0,0,0,1,0,0,0,0,0,0,3
245,AC,643,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
246,AC,643,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2
247,AC,645,1.0,0,0,0,0,0,0,0,0,0,0,1,0,2
248,AC,645,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2
249,AC,645,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1
250,AC,645,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
251,AC,645,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
252,AC,645,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
253,AC,645,3.0,0,0,0,0,0,0,1,0,0,0,1,0,1
254,AC,647,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
255,AC,647,1.0,0,0,0,0,0,0,1,0,1,0,1,0,1
256,AC,647,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1
257,AC,649,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
258,AC,649,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
259,AC,649,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
260,AC,649,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1
261,AC,649,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1
262,AC,649,1.0,0,0,0,0,0,0,1,0,0,0,1,1,2
263,AC,649,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
264,AC,649,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1
265,AC,649,1.0,0,1,0,0,0,1,1,0,0,0,1,0,1
266,AC,651,1.0,0,0,0,0,0,0,0,0,0,0,1,0,5
267,AC,651,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
268,AC,651,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
